Series	Page	True Page	Name	Address	City	State	Zip	Phone	License	Expiration	
1	1	1	226 Investigations, LLC	501 E.Rome Street	Gonzales	LA	70737	8887824907	7830-032012-LA	3/20/2023	
1	1	1	3D Investigations and Process Service, LLC	597 Bruce Circle	Lake Charles	LA	70611	3375139261	9084-030117-LA	5/22/2023	
1	1	1	5940 Training, LLC	15829 Hwy 67	Clinton	LA	70722	2259369818	10047-022222-LA	2/22/2023	
1	1	1	A & A Investigations	2535 W.Bert Kouns Industrial Loop#203-143	Shreveport	LA	71118	3185287071	7138-060309-LA	9/15/2023	
1	1	1	A & M Investigations, LLC	3515 Melville Dewey Dr. Ste 206	Metairie	LA	70002	5044213493	9288-020818-LA	2/8/2023	
1	1	1	A Plus Investigations, LLC	237 DeFries Rd	Ragley	LA	70657	3377253397	3888-120498-LA	12/4/2023	
1	1	1	A. J. Valenti and Associates, Inc.	191 Colonial Club Drive	Harahan	LA	70123	5049756163	9658-120519-LA	12/5/2022	
1	1	1	A.C. Roman & Associates, Inc.	1350 RXR Plaza, West Tower	Uniondale	NY	11556	5165963300	9554-052219-LA	5/22/2023	
1	1	1	A.R.B. Investigations	P O Box 1603	Shreveport	LA	71165	3187973513	3601-020298-LA	2/2/2023	
1	1	1	A.S.A.P. Team, LLC	831 Royal Court	Ponchatoula	LA	70454	9859691127	7744-090611-LA	9/6/2023	
1	1	1	A1 Process & Investigation LLC	21 Dauterive Ct.	Kenner	LA	70065	5046217033	7218-091509-LA	9/15/2023	
1	1	1	AAA Investigations, Inc.	5904 S. Cooper St.,Ste. 104 PMB 92	Arlington	TX	76017	8174806220	8019-111412-LA	11/14/2023	
1	1	1	AAA Investigative Services Group, LLC	P O Box 953	Jena	LA	71342	3183086463	9130-051817-LA	5/18/2023	
1	1	1	Aachen Detective Agency	P O Box 1438	Covington	LA	70434	9857733810	1681-102495-LA	10/24/2023	
1	1	1	AADON Investigations & Process Service, LLC	P.O. Box 775	Walker	LA	70785	2252435849	9450-111318-LA	11/13/2023	
1	1	1	AAR & Associates, Inc.	P O Box 80002	Lafayette	LA	70598	3372374444	0470-042793-LA	7/7/2023	
1	1	1	AASIC - All American Security & Investigation Co.	1917 Nicholas St	Lake Charles	LA	70605	3374787951	4609-082400-LA	8/24/2023	
1	1	1	Abacus Research, Inc.	118 Magnolia Park Drive	Mooresville	NC	28117	8002468599	9268-011618-LA	1/16/2023	
1	1	1	Acadian Investigations	4460 Stumberg Lane	Baton Rouge	LA	70816	5042567955	8387-071514-LA	7/15/2023	
1	1	1	Acadian Research & Reconstruction	13713 Weston Road	Abbeville	LA	70510	3373191322	0318-033093-LA	6/13/2023	
1	1	1	Acadian Search and Rescue	P.O.Box 211	Kaplan	LA	70548	3375811955	9305-031418-LA	3/14/2023	
1	1	1	Accurate Intelligence	P.O. Box 91055	Lafayette	LA	70509	3373194282	4216-083099-LA	8/30/2023	
1	1	1	Action Investigations	3433 Hwy 190 #179	Mandeville	LA	70471	9858071067	0027-030493-LA	3/4/2023	
1	1	1	Action Quick Investigative Bureau, LLC	123 Coretta Street	Monroe	LA	71202	3186141710	8466-111914-LA	11/19/2023	
1	1	1	ADCO Services LLC dba ROA Investigations	56720 Adcox Drive	Bogalusa	LA	70427	9855164479	9829-122120-LA	12/21/2022	
1	2	2	ADR Investigations, LLC	P O Box 37776	Shreveport	LA	71133	3185052808	9311-032018-LA	3/20/2023	
1	2	2	Advanced Inquires	101 Felonise Street	Lafayette	LA	70507	3372882810	8519-020615-LA	2/6/2023	
1	2	2	Advanced Investigative Technologies, LLC	510 Third Street	Jennings	LA	70546	3372460933	5716-040104-LA	4/1/2023	
1	2	2	Advantage Defense Solutions, LLC dba Advantage Investigations & Surveillance	1126 Coolidge Blvd., Ste 206	Lafayette	LA	70503	3372702727	10067-032222-LA	3/22/2023	
1	2	2	Advantage Surveillance, LLC	P O Box 788	Thomasville	NC	27361	3364757750	4795-032201-LA	3/22/2023	
1	2	2	Albert E. Clavin, Jr (Private Investigations)	3316 Lyndel Drive	Chalmette	LA	70043	5044953720	7815-021512-LA	2/15/2023	
1	2	2	Algiers Investigations, LLC	3436 Magazine Street #224	New Orleans	LA	70115	5042610960	7476-090810-LA	11/14/2023	
1	2	2	Allbritton Investigations	P.O. Box 334	Jonesboro	LA	71251	3182598444	8168-091813-LA	9/18/2023	
1	2	2	Allied Universal Compliance & Investigations, Inc.	910 Paverstone Drive	Raleigh	NC	27615	8009270456	0763-072793-LA	7/27/2023	
1	2	2	Alligator Investigations & Recoveries, LLC	210 W. Chestnut St.	Ponchatoula	LA	43125	9856341234	4222-083099-LA	8/30/2023	
1	2	2	Ambrose Investigations, LLC	P  O Box 608	Choudrant	LA	71227	3184466032	7042-021009-LA	2/10/2023	
1	2	2	American Investigations & Consulting Services, LLC	7516 Bluebonnet Blvd. # 239	Baton Rouge	LA	70810	5047232887	5497-061803-LA	12/6/2023	
1	2	2	American Services Inc.	1505 St. Charles St	Houma	LA	70360	9858512154	3535-120897-LA	12/5/2023	
1	2	2	Analytical Services, LLC	P.O. Box 1471	Metairie	LA	70004	5046791829	9989-110121-LA	11/1/2023	
1	2	2	Angle Three Investigations LLC	P O Box 1321	Youngsville	LA	70592	3379620071	9223-101217-LA	10/12/2023	
1	2	2	Anglero Investigations	406 Riviera Dr.	Slidell	LA	70460	9857748784	3006-101696-LA	10/16/2023	
1	2	2	Anthony Graphia Investigations	P. O. Box 77681	Baton Rouge	LA	70879	2259757154	0072-030493-LA	3/4/2023	
1	2	2	Applied Marine Technology, Inc.	540 Jackson Avenue	Mandeville	LA	70448	9856261876	4303-110999-LA	11/9/2023	
1	2	2	Armentor Investigative Team, Inc.	300 Stewart Street	Lafayette	LA	70501	3372331471	7953-072012-LA	7/20/2023	
1	2	2	Asmussen & Associates,  LLC	1661 Meadow Lake Drive	Zachary	LA	70791	2256589552	0011-030493-LA	3/4/2023	
1	2	2	Assertive Legal Services, Inc.	2117 Veterans Blvd., Suite 295	Metairie	LA	70002	5044669060	9908-060921-LA	6/9/2023	
1	2	2	ATA Associates Inc.	1301 Gemini	Houston	TX	77058	2814809847	4635-091400-LA	9/14/2023	
1	2	2	Aurora Investigations, LLC	112 1/2 Dunreath Street	Lafayette	LA	70506	5042659948	9479-011519-LA	1/15/2023	
1	2	2	aVeriFact, LLC	P.O. Box 2397	Hammond	LA	70404	8004685818	6582-013107-LA	7/15/2023	
1	2	2	Averse Risk, LLC	23851 Belgian Road	Holden	LA	70744	2252443334	9477-011519-LA	1/15/2023	
1	3	3	B & W Investigations, LLC	200 Ciravola Lane	Boutte	LA	70039	5045839423	8116-052013-LA	7/21/2023	
1	3	3	B A Investigations	350 Pheasant Lane	Slidell	LA	70458	9854745494	7058-021909-LA	2/19/2023	
1	3	3	Badeaux Investigations	20604 LA Hwy. 417	Lettsworth	LA	70753	2252812690	8260-013114-LA	1/31/2023	
1	3	3	Bara Byrd Investigation Service	618 South 15th St	Baton Rouge	LA	70802	2255712921	4201-083099-LA	8/30/2023	
1	3	3	Bayne Investigations	16705 Cass County Rd. 4566	Vivian	LA	71085	3185174467	9335-051618-LA	5/16/2023	
1	3	3	Bayou Detective  Agency	113 E. Claiborne St.	St. Martinville	LA	70582	3373948100	7992-100312-LA	10/3/2023	
1	3	3	Bayou Investigations Inc. - Lafayette	P O Box 92825	Lafayette	LA	70509	3372352322	0434-042793-LA	4/27/2023	
