			LA	 				
"Macedonia"	351 Jones Road	Leesville	LA	 71446				
1st Presbyterian Church Mem. Gardens Columbarium	1201 Stubbs Ave.	Monroe	LA	 71201-5621	318-323-9402			
A. M. Edwards Family Cemetery	Madisonville Highway	Ponchatoula	LA	 70454	985-386-6579			
A. O. Miller Family Cemetery	Miller Drive	Vinton	LA	 70668	337-589-7259			
Abbey Cemetery	75376 River Road	St. Benedict	LA	 70457	985-892-1800			
Abshire Cemetery	Cemetery Road	Kaplan	LA	 70548	337-788-0419			
Abshire/Reynders Family Burial Plots	11415 La. Hwy. 697	Abbeville	LA	 70510	337-898-9335			
Abundant Life Church Cemetery	861 Hwy. 1193	Marksville	LA	 71351	318-717-2162			
Acadia Resthaven Cemetery	1563 Crowley-Rayne Hwy.	Crowley	LA	 70526	337-344-8523			
Ackland Creek & Greater St Mary Bapt Ch.  Cemetery	Tal Gibson Street	Jonesville	LA	 71343	318-339-1163			
Ackland Creek Cemetery	609 State Street	Jonesville	LA	 71343	318-339-9922			
Acme Community Cemetery	La. Hwy. 129	Acme	LA	 71316	318-386-2324			
Adams Family Cemetery	Locust Ridge Plantation	St. Joseph	LA	 71366-9712	318-766-3653			
Adams' Cemetery	Highway 3257	Barataria	LA	 70036	504-341-4405			
Agudath Achim Cemetery	Yale @ Dunlap St.	Shreveport	LA	 71101	318-797-6401			
Ahavas Scholem Cemetery	Lombard St.	New Orleans	LA	 70122	504-837-0770			
Aimwell Baptist Church Cemetery	16135 Hwy 157	Benton	LA	 71006	318-349-6665			
Aimwell Cemetery	2435 Hwy. 1215	Zwolle	LA	 71486-8610	318-645-6966			
Ajax Cemetery	La. Highway 174	Marthaville	LA	 71450	318-820-4269			
Alan Family Burial Ground	8466 Island Road	Ventress	LA	 70783	225-718-3510			
Albany Missionary Baptist Church Cemetery	45430 Durbin Rd.	Hammond	LA	 70401	225-209-2622			
Alexandria Garden of Memories	2707 Broadway St	Alexandria	LA	 71301	318-445-8550			
Alexandria Memorial Gardens	Hwy. 165  South	Woodworth	LA	 71485	318-487-4278			
Alice and Robert Cemetery	1847 1/2 Charlie Overton Road	Greensburg	LA	 70441	225-222-3575			
Alice in Wonderland Cemetery	Pete Davis Road	Wildsville	LA	 71377	318-443-1239			
All In The Family Memorial Gardens	24129 La. Hwy 447	Walker	LA	 70785	225-405-2994			
All Saints Cemetery	Harold Landry Rd	New Iberia	LA	 70563	337-229-4254			
All Saints Church Columbarium	100 Rex Drive	River Ridge	LA	 70123	504-737-2421			
Allain Cemetery	1145 1/2 Coward Road	DeQuincy	LA	 70633	337-786-2871			
Allain Cemetery	5190 Chitimacha Trail	Jeanerette 	LA	 70544	337-276-2738			
Allen Cemetery	Buddy Brown Road	Minden	LA	 71055	318-377-7935			
Allen Chapel AME Cemetery	12th Street	Thibodaux	LA	 70301	985-446-3957			
Allen Family Cemetery	263 Lee Smith Lane	Grand Cane	LA	 71032	318-422-3077			
Allen Family Cemetery	6132 Hwy 38	Kentwood	LA	 70444	985-514-0263			
Allen Sweet Home Cemeteyr	8871 Hwy. 38	Greensburg	LA	 70441	225-460-0001			
Allison Cemetery	Sharp Road	Folsom	LA	 70437	985-796-9527			
