Series	Name	DBA	Street	City	State	Zip	Phone	Status	
dq-1	A STAR HEADQUARTERS LOGISTICS LLC 	A STAR HEADQUARTERS LOGISTICS 	9424 BAYMEADOWS RD STE 250	JACKSONVILLE	FL	32256	(904) 902-0926	AUTHORIZED FOR BROKER Property	
dq-2	A STAR HEADQUARTERS LOGISTICS LLC 	A STAR HEADQUARTERS LOGISTICS 	9424 BAYMEADOWS RD STE 250	JACKSONVILLE	FL	32256	(904) 902-0926	AUTHORIZED FOR BROKER Property	
dq-3	A&E LANDQUEST LLC 	 	1367 PATTEE CIR APT C	LAS VEGAS	NV	89119-1941	(725) 208-7573	ACTIVE	
dq-4	ADAM LINDQUIST 	LINDQUIST FARMS 	67638 COUNTY HIGHWAY C	HIGH BRIDGE	WI	54846	(715) 278-3629	ACTIVE	
dq-5	ADQ FREIGHT LLC 	 	7211 S 250 E	LAFAYETTE	IN	47909	(317) 721-1196	AUTHORIZED FOR Property	
dq-6	ADQ'S TRUCKING LLC 	ADQ'S LOGISTICS 	3649 PUREBRED DRIVE	VIRGINIA BEACH	VA	23453	(757) 468-2945	NOT AUTHORIZED	
dq-7	ADQ'S TRUCKING LLC 	ADQ'S LOGISTICS 	3649 PUREBRED DRIVE	VIRGINIA BEACH	VA	23453	(757) 468-2945	NOT AUTHORIZED	
dq-8	ADQV TRANS CORP 	 	2373 RUE RD	WEST PALM BCH	FL	33415	(561) 400-0866	NOT AUTHORIZED	
dq-9	ARNOLD R NORDQUIST 	 	21035 GYPSY VALLEY RD #NOWTHEN	ANOKA	MN	55303	(763) 241-0843	ACTIVE	
dq-10	KEVIN E WRIGHT 	AUDIO VIDEO HEADQUARTER 	1295 NORTH EMERALD AVE SUITE H	MODESTO	CA	95351	(209) 579-0580	ACTIVE	
dq-11	AUTOMOTIVE HEADQUARTERS INC 	 	607 31ST ST   N	BIRMINGHAM	AL	35203	(205) 252-0976	ACTIVE	
dq-12	AUTOMOTIVE PARTS HEADQUARTERS INC 	 	2959 CLEARWATER ROAD	SAINT CLOUD	MN	56301	(320) 252-5411	ACTIVE	
dq-13	BATTERY HEADQUARTERS 	 	122 N LEWIS	TULSA	OK	74104	(918) 585-8598	ACTIVE	
